zpid,sale_price,bedrooms,bathrooms,living_area,year_built,zipcode,lat,lon
1091365,300000.0,3.0,2.0,1446.0,1900.0,46201.0,39.759853,-86.13463
1103822,409900.0,3.0,3.0,2840.0,1911.0,46201.0,39.761436,-86.110794
1087741,276000.0,3.0,2.0,1988.0,2025.0,46201.0,39.76003,-86.12164
2067306066,379900.0,3.0,3.0,1680.0,2022.0,46201.0,39.76988,-86.12569
448169113,179900.0,3.0,2.0,1200.0,2025.0,46201.0,39.78037,-86.11319
1102922,179900.0,3.0,2.0,1200.0,2025.0,46201.0,39.78015,-86.11334
448158695,179900.0,3.0,2.0,1200.0,2025.0,46201.0,39.77957,-86.113
1073204,179900.0,3.0,2.0,1200.0,2025.0,46201.0,39.779305,-86.11287
1108450,139900.0,2.0,1.0,2024.0,1920.0,46201.0,39.778942,-86.08885
1076739,165000.0,3.0,3.0,2429.0,1921.0,46201.0,39.784916,-86.11001
1077434,145000.0,3.0,2.0,1932.0,1925.0,46201.0,39.772186,-86.10459
1072522,325000.0,4.0,3.0,2714.0,1920.0,46201.0,39.778683,-86.11451
1073103,225000.0,3.0,2.0,3141.0,1910.0,46201.0,39.785805,-86.11085
112845546,329900.0,3.0,3.0,1780.0,2021.0,46201.0,39.770306,-86.132454
1103867,499900.0,4.0,4.0,2647.0,1910.0,46201.0,39.776264,-86.12401
1082329,174900.0,3.0,3.0,2100.0,2017.0,46201.0,39.761307,-86.12573
1081706,72900.0,3.0,1.0,2604.0,1920.0,46201.0,39.784004,-86.11677
442433539,175000.0,3.0,4.0,1271.0,2024.0,46201.0,39.77116,-86.11845
442433418,170000.0,3.0,3.0,1271.0,2024.0,46201.0,39.77116,-86.11845
442433355,170000.0,3.0,3.0,1271.0,2024.0,46201.0,39.77116,-86.11845
1114451,165000.0,3.0,2.0,2763.0,1915.0,46201.0,39.767986,-86.101875
1091038,199000.0,3.0,3.0,1860.0,1955.0,46201.0,39.7709,-86.12274
1081362,235000.0,4.0,2.0,1645.0,1930.0,46201.0,39.775974,-86.0966
1075836,114900.0,2.0,1.0,1512.0,1911.0,46201.0,39.77749,-86.11561
112843890,485000.0,4.0,3.0,2654.0,2024.0,46201.0,39.760216,-86.12822
1110027,575000.0,4.0,4.0,4392.0,2003.0,46202.0,39.79459,-86.14379
1116252,285000.0,3.0,1.0,1472.0,2011.0,46202.0,39.792263,-86.143295
252258101,725000.0,4.0,4.0,3570.0,2017.0,46202.0,39.78827,-86.14978
1103174,49999.0,2.0,1.0,2460.0,1955.0,46202.0,39.763695,-86.14092
457686277,475000.0,3.0,3.0,2007.0,2025.0,46202.0,39.793266,-86.144455
457685973,475000.0,3.0,3.0,2007.0,2025.0,46202.0,39.793285,-86.14439
1120692,315000.0,2.0,2.0,1120.0,1984.0,46202.0,39.78756,-86.148
1120619,162000.0,1.0,1.0,656.0,1985.0,46202.0,39.78461,-86.15281
1083814,459900.0,3.0,3.0,2100.0,2022.0,46202.0,39.79491,-86.13829
1084860,215000.0,3.0,2.0,2340.0,2009.0,46202.0,39.795834,-86.186516
61759164,329000.0,2.0,2.0,1420.0,1910.0,46202.0,39.773018,-86.136826
1120386,318500.0,2.0,2.0,1120.0,1982.0,46202.0,39.778698,-86.15125
1121220,1250000.0,3.0,4.0,6188.0,1999.0,46202.0,39.77275,-86.149216
457598483,1175000.0,6.0,6.0,4186.0,2019.0,46202.0,39.787888,-86.1425
450046759,550000.0,3.0,2.0,1939.0,2006.0,46202.0,39.760094,-86.148895
1098372,1299999.0,5.0,4.0,5632.0,1865.0,46202.0,39.78704,-86.14513
